description,category,deadline_proximity,vulnerability_score,urgency_label
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,21,50,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,26,96,High
Urgent need for medical supplies in rural areas (Updated case),Security,11,74,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,10,55,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,29,2,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,22,62,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,30,16,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,13,87,Medium
Urgent need for medical supplies in rural areas (Updated case),Education,26,14,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,7,50,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,24,28,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,29,28,High
Educational program for refugees requires immediate funding (Updated case),Medical,5,30,High
New school materials needed for underprivileged children (Updated case),Infrastructure,26,83,Medium
Educational program for refugees requires immediate funding (Updated case),Logistics,1,47,High
Educational program for refugees requires immediate funding (Updated case),Education,9,97,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,1,100,Medium
Road repairs required due to heavy rainfall damage (Updated case),Security,17,62,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,26,91,High
Educational program for refugees requires immediate funding (Updated case),Education,9,16,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,19,86,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,15,26,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,16,49,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,29,75,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,17,31,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,22,51,Low
Educational program for refugees requires immediate funding (Updated case),Medical,12,97,High
Educational program for refugees requires immediate funding (Updated case),Security,1,29,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,29,14,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,5,1,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,21,96,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,5,30,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,15,4,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,17,23,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,26,39,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,23,22,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,19,26,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,20,54,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,23,58,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,12,64,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,24,68,Critical
New school materials needed for underprivileged children (Updated case),Security,26,28,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,30,27,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,13,68,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,15,65,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,26,87,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,28,50,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,18,84,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,10,71,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,12,68,Medium
New school materials needed for underprivileged children (Updated case),Logistics,5,91,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,17,31,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,25,73,High
New school materials needed for underprivileged children (Updated case),Security,30,76,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,14,25,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,21,100,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,18,67,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,7,15,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,10,89,Low
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,4,41,Critical
New school materials needed for underprivileged children (Updated case),Security,9,8,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,10,99,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,21,92,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,15,84,High
Urgent need for medical supplies in rural areas (Updated case),Security,20,15,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,11,83,Medium
Road repairs required due to heavy rainfall damage (Updated case),Security,4,39,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,4,60,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,15,9,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,30,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,13,67,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,1,38,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,5,78,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,25,8,Critical
